original_sentence,paraphrased_sentence,perturb_n1,perturb_n2,perturb_n3
"Police arrested a "" potential suspect "" Monday in the case of a nine-year-old girl who turned up safe two days after being violently abducted from her home .","Police arrested a "" potential suspect "" Monday in the abduction of a 9-year-old who was found safe after two days , the police chief said .","Police . a "" potential suspect "" Monday in the case of a nine-year-old girl who turned up safe two days after being violently abducted from her home arrested","Police arrested a "" potential suspect "" Monday in from her of a nine-year-old girl who turned up safe two days after being violently abducted the case home .",""" arrested girl "" potential suspect Police Monday in the case of a nine-year-old a who turned up safe two days after being violently abducted from her . home"
Rep. Dennis Kucinich of Ohio is expected to raise more than $ 1 million .,Ohio Rep. Dennis Kucinich passed $ 1 million last week and was still counting money .,Rep. Dennis Kucinich of Ohio . expected to raise more than $ 1 million is,Rep. of Kucinich Dennis Ohio expected is to raise more than $ 1 million .,Rep. more . of Ohio is expected to raise than Dennis $ 1 million Kucinich
"But a state judge has ruled that the so-called "" double jeopardy "" protections do not apply in the case .",A judge already has ruled that double-jeopardy protections don 't apply in the case .,"But a state judge has ruled that the so-called apply double jeopardy "" protections do not "" in the case .","But a state judge has "" that the so-called "" double jeopardy the protections do not apply in ruled case .","ruled a state "" has But that protections so-called "" double jeopardy judge the do not apply in the case ."
"After protesters rushed the stage and twice cut power to the microphone , Hedges drew the speech to an early close .","After protesters rushed the stage and twice cut power to the microphone , Hedges cut his speech short .","After protesters rushed the stage and twice cut power to the microphone to Hedges drew the speech , an early close .","to protesters rushed the stage and twice After power to the microphone , Hedges drew the speech cut an early close .","After protesters rushed the drew and twice speech power to . microphone , Hedges stage the cut to an early close the"
The worst-affected area was South Kyongsang province where at least 15 people drowned and roads were swept away .,The worst affected area was South Kyeongsang province where at least 15 people drowned and roads were swept away in mud sides .,The worst-affected area was South Kyongsang province where were least 15 people drowned and roads at swept away .,The worst-affected where was South Kyongsang roads area at least 15 people drowned and province were swept away .,The worst-affected area drowned South Kyongsang province where at least 15 . was and roads away swept were people
She said the president 's eyes filled with tears when she told him he would have to confess to their teenage daughter as well .,Mrs Clinton writes her husband 's eyes filled with tears when she told him he would have to confess to Chelsea as well .,She . the president 's eyes filled with tears when she told him he would have to confess to their teenage daughter as well said,She eyes the president 's said filled with as when she told him he would have to confess to their teenage daughter tears well .,She said daughter president 's eyes would with tears confess she told him he filled have to when to their teenage the as well .
The Legislature returns today for a special session and they 're expected to pass a compromise bill aimed at lowering doctors ' medical malpractice insurance rates .,Florida legislators return today for a special session in which they 're expected to pass a compromise bill aimed at lowering doctors ' medical malpractice insurance rates .,The Legislature returns today for a doctors session and they 're expected to pass a compromise bill aimed at lowering special ' medical malpractice insurance rates .,The Legislature returns today for a special session and they 're expected lowering to a compromise bill aimed at pass doctors ' medical malpractice insurance rates .,The at returns today for malpractice special session they and 're expected to pass a compromise bill aimed Legislature lowering doctors ' medical a insurance rates .
Mr Berlusconi is accused of bribing judges to influence the sale of the state-controlled SME food company in 1985 .,"Mr Berlusconi is accused of bribing judges to influence a takeover battle in the 1980s involving SME , a state-owned food company .",Mr Berlusconi is accused of bribing judges to influence of sale the the state-controlled SME food company in 1985 .,Mr Berlusconi of accused influence bribing judges to of the sale is the state-controlled SME food company in 1985 .,Mr of is accused Berlusconi bribing judges to influence the 1985 of the state-controlled SME food company in sale .
"The stock closed Friday at $ 5.91 , down $ 1.24 , or 17 percent , on the Nasdaq Stock Market .","Shares of Brocade closed at $ 5.91 , down $ 1.24 , or 17.3 percent .","The Market closed Friday at $ 5.91 , down $ 1.24 , or 17 percent , on the Nasdaq Stock stock .","Friday stock closed The at Nasdaq 5.91 , down $ 1.24 , or 17 percent , on the $ Stock Market .","The on closed 17 at $ 5.91 , $ down 1.24 , or Friday percent , stock the Nasdaq Stock Market ."
""" SCO has not shown us any evidence that we 've violated our agreements in any way , "" IBM spokesperson Trink Guarino told internetnews.com.",""" SCO has not shown us any evidence that we violated our agreements , "" spokeswoman Trink Guarino said .",""" SCO has not shown us any evidence 've we that violated our agreements in any way , "" IBM spokesperson Trink Guarino told internetnews.com.",""" SCO has not shown us any evidence that we 've violated our internetnews.com. in any Guarino , "" IBM spokesperson Trink way told agreements",""" evidence has not shown us in SCO Trink we 've violated our agreements any any way , "" IBM spokesperson that Guarino told internetnews.com."
"In March , Rowland 's former deputy chief of staff pleaded guilty to accepting gold and cash in return for steering state contracts .","Lawrence E. Alibozek , his former deputy chief of staff , pleaded guilty to accepting cash and gold coins in exchange for influencing state contracts .","In March , guilty 's former deputy chief of staff pleaded Rowland to accepting gold and cash in return for steering state contracts .","In March , and 's former deputy chief of staff pleaded guilty to accepting state Rowland cash in return for steering gold contracts .","In March , 's to former deputy chief of staff pleaded guilty Rowland accepting gold in cash and return for steering state contracts ."
""" It ' ' s absurd , "" Funny Cide 's trainer Barclay Tagg said .","Meanwhile , Funny Cide 's trainer , Barclay Tagg , called the allegations "" ridiculous . """,""" It ' ' s absurd , "" Funny Cide 's trainer Tagg Barclay said .",""" It ' ' s absurd Funny , "" Cide 's trainer Barclay Tagg said .","' It absurd ' s "" , "" Funny Cide 's trainer Barclay Tagg . said"
""" United is continuing to deliver major cost reductions and is now coupling that effort with significant unit revenue improvement , "" chief financial officer Jake Brace said in a statement .",""" United is continuing to deliver major cost reductions and is now coupling that effort with significant unit revenue improvement , "" he said .",""" United is continuing to deliver major cost reductions and is now coupling that effort with significant unit revenue improvement , "" chief financial in Jake Brace said officer a statement .",""" United is continuing to deliver major cost officer and is now coupling that effort with significant unit . improvement , "" chief financial reductions Jake Brace said in a statement revenue",""" United is continuing to . now cost reductions and is major significant that effort with coupling unit revenue improvement , "" chief financial officer Jake Brace said in a statement deliver"
Minister Saud al-Faisal 's visit was disclosed Monday by two administration officials who discussed it on condition of not being identified by name .,"Minister Saud al-Faisal 's visit was disclosed by two administration officials , who spoke on condition of anonymity .",Minister Saud al-Faisal 's visit administration disclosed Monday by two was officials who discussed it on condition of not being identified by name .,Minister Saud al-Faisal 's visit was being Monday by two administration officials who disclosed it on condition of not discussed identified by name .,Minister Saud al-Faisal 's visit not disclosed Monday by two of officials who condition it on discussed administration was being identified by name .
SAN Architect and AutoAdvice can be used by themselves or as extensions to the ControlCenter family of storage management applications .,SAN Architect and AutoAdvice can be used as stand-alone applications or as an extension to EMC 's ControlCenter applications .,SAN Architect and AutoAdvice can be used by themselves or as family to the ControlCenter extensions of storage management applications .,SAN Architect and AutoAdvice can the or by themselves used as extensions to be ControlCenter family of storage management applications .,SAN Architect and AutoAdvice can be used the themselves or as extensions to ControlCenter by applications of storage management family .
Teams of inspectors walked into a restricted area at one park without being stopped ; others took pictures of sensitive areas without being challenged .,Teams of inspectors walked into a restricted area at one park without being stopped by employees ; others took pictures of security-sensitive areas without anyone challenging them .,Teams of inspectors walked into a restricted area took one park without being stopped ; others at pictures of sensitive areas without being challenged .,one of inspectors walked stopped a restricted area at Teams park without being into ; others took pictures of sensitive areas without being challenged .,Teams of inspectors took into area restricted pictures at one park without being stopped ; others walked a of sensitive areas without being challenged .
"When Biggs 's body was found , authorities had no leads until four months later , when a tipster said Mallard talked about the incident at a party .","Authorities had no leads in Biggs ' death until four months later , when a tipster said Mallard talked about the incident at a party .","When Biggs at body was found , authorities had no leads until four months later , when a tipster said Mallard talked about the incident 's a party .","When Biggs 's body was found , had authorities no leads until four months said , when a tipster later Mallard talked about the incident at a party .","months Biggs 's body was found , talked had no authorities until four When later , when a tipster said Mallard leads about the incident at a party ."
Mr. Stevens has also told his officers that information from British intelligence indicates there are more al Qaeda agents in Britain than previously thought .,Sir John has also told his officers that information from British intelligence indicates there are more al-Qa 'eda agents in Britain than previously thought .,Mr. Stevens has also told his officers that information from British intelligence indicates thought are more al Qaeda agents in Britain than previously there .,Mr. Stevens has also told his officers intelligence information from British that indicates there are more al Qaeda than in Britain agents previously thought .,more Stevens has also told his officers that information from British intelligence indicates there thought Mr. al Qaeda . in Britain than previously are agents
He said some issues _ such as division break-up _ really can only be resolved if and when the conference is expanded .,He said some issues - including division alignments - will be resolved if the conference expands .,He said be issues _ such as division break-up _ really can only some resolved if and when the conference is expanded .,some said He issues _ such as division break-up _ really can only be is if and when the conference resolved expanded .,He said some issues _ such as division break-up _ really can be only resolved if and is . conference when expanded the
"But in the first 30 seconds after Young entered the ring , the family knew it was an uneven match , Meyers said .","But in the first 30 seconds of the bout , family members knew it was an uneven match , Jodie Meyers , Stacy Young 's sister , said .","But in the first 30 match after Young entered the ring , the family knew it was an uneven seconds , Meyers said .","But in the first it seconds after Young entered the said , the family knew 30 was an uneven match , Meyers ring .","But said the Meyers 30 seconds after Young entered the ring , the family it knew was an uneven match , first in ."
""" This blackout was largely preventable , "" said Spencer Abraham , US energy secretary .",""" This blackout was largely preventable , "" Energy Secretary Spencer Abraham said at a press conference this afternoon .",""" This blackout was largely preventable , "" said Abraham Spencer , US energy secretary .",""" This blackout was largely preventable US "" said Spencer Abraham , energy , secretary .","largely This blackout was "" preventable , . said Spencer Abraham , "" energy secretary US"
"Nearly all of Ford 's second-quarter profit came from Ford Credit , which earned a net $ 401 million , up 21.5 percent .","Nearly all of Ford 's second-quarter profit came from its Ford Credit finance arm , which earned $ 401 million , up 21.5 percent from a year earlier .","Nearly all Ford of 's second-quarter profit came from Ford Credit , which earned a net $ 401 million , up 21.5 percent .","Nearly all from Ford 's second-quarter profit came of Ford Credit , which earned a net $ 401 million . up 21.5 percent ,",", all 's Ford of second-quarter profit came from Ford Credit Nearly 401 earned a net $ which million , up 21.5 percent ."
"The suit is to be filed against Secretary of State Kevin Shelley and election officials in Los Angeles , Orange and San Diego counties .","The lawsuit names Shelley , a Democrat , and registrars in Los Angeles , Orange and San Diego counties .","The suit is to be filed against Secretary of State San Shelley and election officials in Los Angeles , Orange and Kevin Diego counties .","The Kevin is Angeles be filed against Secretary of State suit Shelley and election officials in Los to , Orange and San Diego counties .","The suit is to be Secretary against San of State Kevin and and election officials in Los Angeles , Orange Shelley filed Diego counties ."
"But while Microsoft 's share of the low-end server software market has increased since the EU 's investigation started five years ago , the firm has denied anti-competitive practices are to blame .","Microsoft 's share of the low-end server software market has increased since the probe started five years ago , but the firm denied anti-competitive practices were the reason for this .","But while Microsoft 's share of the low-end server software market has increased since the EU 's investigation five started years ago , the firm has denied anti-competitive practices are to blame .","But while , 's share of the low-end server software market has increased since the to 's investigation started five years ago Microsoft the firm has denied anti-competitive practices are EU blame .","the while Microsoft 's share has the low-end server software years has increased since the EU 's investigation started five market ago , But firm of denied anti-competitive practices are to blame ."
"No country seems likely to oppose proposals for a long-term European Council president , replacing the current rotating presidency , as well as an EU foreign minister .","No country now opposes plans for a long-term European Council president , replacing the current rotating presidency , as well as an EU foreign minister .","No country seems likely to oppose proposals for a long-term European Council president , , the current rotating presidency replacing as well as an EU foreign minister .","a country seems likely to oppose proposals for No long-term European Council president , replacing the , rotating presidency current as well as an EU foreign minister .","No country seems well to oppose proposals for a long-term EU Council president , rotating the current replacing presidency , as likely as an European foreign minister ."
Early voting will run weekdays from 8 a.m. to 5 p.m. through Sept . 9 .,Early voting polls will be open from 7 a.m. to 7 p.m. Sept . 8 and Sept . 9 .,Early voting will run weekdays . 8 a.m. to 5 p.m. through Sept from 9 .,Early voting will run weekdays from 8 a.m. to Sept p.m. 5 through . 9 .,Early voting from run will weekdays 8 a.m. Sept 5 p.m. through to . 9 .
"Third-quarter revenue declined to $ 36.9 billion from $ 39.3 billion , primarily reflecting lower vehicle sales .","Revenue fell to $ 36.9bn from $ 39.3bn a year ago , mainly due to lower vehicle sales .","Third-quarter revenue declined to $ 36.9 billion from $ 39.3 billion lower primarily reflecting , vehicle sales .","Third-quarter 36.9 declined to . revenue billion from $ 39.3 billion , primarily reflecting lower vehicle sales $","Third-quarter . declined to billion 36.9 billion from $ 39.3 $ , lower reflecting primarily vehicle sales revenue"
Gartner analysts said that businesses are not yet feeling confident enough to upgrade corporate PCs .,"What 's more , companies are not feeling confident enough to replace older PCs , the analyst firm said .",Gartner PCs said that businesses are not yet feeling confident enough to upgrade corporate analysts .,Gartner analysts said that businesses feeling not yet are confident . to upgrade corporate PCs enough,are analysts said that businesses Gartner not feeling yet corporate enough to upgrade confident PCs .
"Shirley Hazzard and Edward P. Jones , both of whom needed more than a decade to complete their current novels , are among this year 's nominees .","Shirley Hazzard and Edward P. Jones , both of whom needed more than a decade to complete their current novels , were also among the fiction finalists announced Wednesday .","Shirley Hazzard and Edward P. Jones , both of whom needed more than a decade to complete their current novels , are among . year 's nominees this","Shirley Hazzard needed Edward decade Jones , both of whom and more than a P. to complete their current novels , are among this year 's nominees .","Shirley 's and Edward Hazzard Jones , both of whom . more than a decade to complete their current novels , are among this year P. nominees needed"
"His 1996 Chevrolet Tahoe was found abandoned June 25 in a Virginia Beach , Va . , parking lot .","His sport utility vehicle was found June 25 , abandoned without its license plates in Virginia Beach , Va .","His 1996 Chevrolet Tahoe was found abandoned June 25 in a . Beach , Va . , parking lot Virginia","His 1996 Chevrolet Tahoe 25 found abandoned June was in a Virginia Beach , Va . , parking lot .","His 1996 Chevrolet Tahoe was found abandoned . June in a Virginia Beach parking Va . , , lot 25"
"A second bomb , evidently carried by the other woman , did not explode ; the authorities detonated the explosives later .","A second bomb , evidently carried by the other woman , did not explode ; the authorities found explosives and detonated them afterward .","A second bomb , evidently carried by the explode woman , did not other ; the authorities detonated the explosives later .","A evidently bomb , second carried by the other woman , did not explode ; the authorities detonated the explosives later .","A second bomb , later carried by the other explosives , did not explode ; the woman detonated the authorities evidently ."
"AN artist has infuriated New Yorkers by painting a sign reading "" CAUTION Low Flying Planes "" on a building near Ground Zero .","An artist painted a sign reading ``CAUTION Low Flying Planes ' ' on a building near ground zero , angering neighbors and stirring complaints .","AN near has infuriated New Yorkers by painting a sign reading "" CAUTION Low Flying Planes "" on a building artist Ground Zero .","AN artist has infuriated New Yorkers by painting Planes sign reading . CAUTION Low Flying a "" on a building near Ground Zero ""","AN artist has infuriated New Yorkers by painting a sign . "" CAUTION Low Flying Planes building near a "" on Ground Zero reading"
""" During the investigation , Bryant was cooperative with investigators and remains cooperative with authorities , "" the sheriff 's office said .","Bryant was "" interviewed and was cooperative , "" said Kim Andree , a spokeswoman for the sheriff 's office .",""" During said investigation , Bryant was cooperative with investigators and remains cooperative with authorities , "" the sheriff 's office the .",""" During the investigation , Bryant was cooperative 's with and remains cooperative investigators authorities , "" the sheriff with office said .",""" During investigators investigation , Bryant was cooperative with office and authorities cooperative with remains , "" the sheriff 's the said ."
"Adrian Lamo , 22 , had told reporters he planned to surrender to the FBI in Sacramento Friday , but he then had second thoughts .","Lamo had told reporters he would surrender to the FBI on the federal courthouse steps in Sacramento on Friday , but he didn 't show up .","Adrian Lamo , 22 , had told reporters he planned to surrender he the FBI in Sacramento Friday , but to then had second thoughts .","Adrian Lamo , 22 , had told reporters thoughts planned Sacramento surrender to the FBI in to Friday , but he then had second he .","Adrian Lamo , 22 , had told reporters he planned to surrender to the Sacramento in FBI he , but Friday then had second . thoughts"
""" While many good people work in the telemarketing industry , "" Bush said in prepared remarks , "" the public is understandably losing patience with these unwanted phone calls , unwanted intrusions .","While he said "" many good people work in the telemarketing industry , the public is understandably losing patience with these unwanted phone calls , unwanted intrusions .",""" While many good people work in the telemarketing industry , "" Bush said in prepared remarks , "" the public is understandably intrusions patience with these unwanted phone calls , unwanted losing .",""" While many good people work in the telemarketing industry unwanted "" Bush said in prepared remarks , "" the unwanted is understandably losing patience with these , phone calls , public intrusions .",""" While phone good people understandably in the telemarketing industry , prepared Bush said in "" remarks , "" the public is work losing patience with these unwanted many calls , unwanted intrusions ."
General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla .,Maj-Gen Jeffery said he would give his military pension to charity while he served at Yarralumla .,donate Jeffrey said he would General his military pension to charity for the period he was in office at Yarralumla .,General Jeffrey said he office donate his military pension to charity for the period . was in would at Yarralumla he,General Jeffrey said he would donate was military pension to charity for he period office his in the at Yarralumla .
"The technology-laced Nasdaq Composite Index .IXIC climbed 40.09 points , or 2.46 percent , to 1,666.58 , based on the latest data , and marking its highest close since May 23 , 2002 .","The technology-laced Nasdaq Composite Index < .IXIC > was up 40.09 points , or 2.46 percent , at 1,666.58 , marking its highest close since May 23 , 2002 .","The technology-laced Nasdaq Composite Index .IXIC climbed 40.09 points since or 2.46 percent , to 1,666.58 , based on the latest data , and marking its highest close , May 23 , 2002 .","The technology-laced Nasdaq , Index .IXIC climbed 40.09 points percent or 2.46 Composite , to 1,666.58 , based on the latest data , and marking its highest close since May 23 , 2002 .","The 2.46 Nasdaq Composite marking .IXIC climbed 40.09 points , or technology-laced percent , to 1,666.58 , since on the latest data , and Index its highest close based May 23 , 2002 ."
"Quattrone 's action , prosecutors argue , amounted to criminal obstruction of justice .","Quattrone , 47 , is charged with obstruction of justice and witness tampering .","action 's Quattrone , prosecutors argue , amounted to criminal obstruction of justice .","amounted 's , action prosecutors argue , Quattrone to criminal obstruction of justice .","Quattrone criminal action , prosecutors argue , of to 's amounted obstruction justice ."
SEA 05D is the Naval Sea Systems Command ’ s technical authority for surface ship design and engineering .,The Future Concepts and Surface Ship Design Group is the Naval Sea Systems Command ’ s technical authority for all surface ship design and engineering .,SEA 05D Command the Naval Sea Systems is ’ s technical authority for surface ship design and engineering .,SEA 05D is the Naval ’ Systems Command Sea s technical authority for ship surface design and engineering .,SEA 05D is the design Sea Systems Command ’ s technical authority engineering surface ship for and Naval .
"About $ 250,000 worth of her jewelry was discovered last week at Kennedy International Airport , where it had up and disappeared before a flight to the BET Awards .","An estimated $ 250,000 worth of jewelry belonging to the hip-hop performer was recovered Friday at Kennedy Airport , where it had disappeared June 20 .","About $ 250,000 worth of her jewelry was discovered last week at Kennedy International Airport , where it had up flight disappeared before a and to the BET Awards .","About $ 250,000 Awards of her jewelry was discovered last week at Kennedy International Airport . where it had up and disappeared before a flight to the BET worth ,","About $ 250,000 worth of her jewelry was discovered last week at Kennedy where Airport , International it . BET and disappeared before a flight to the up Awards had"
The diocese reached a settlement in 2001 involving five priests and 26 plaintiffs for an undisclosed sum .,"In 2001 , the diocese reached a $ 15 million settlement involving five priests and 26 plaintiffs .",The diocese reached a settlement in 2001 involving five priests and plaintiffs 26 for an undisclosed sum .,The an reached a settlement in 2001 involving five priests and . plaintiffs for diocese undisclosed sum 26,The diocese reached a and in sum involving five priests undisclosed 26 plaintiffs for an settlement 2001 .
"The U.S. government and private technology experts warned Wednesday that hackers plan to attack thousands of Web sites Sunday in a loosely co-ordinated "" contest "" that could disrupt Internet traffic .","THE US government and private technology experts have warned that hackers plan to attack thousands of websites on Sunday in a loosely co-ordinated "" contest "" that could disrupt Internet traffic .","The U.S. that and private technology experts warned Wednesday government hackers plan to attack thousands of Web sites Sunday in a loosely co-ordinated "" contest "" that could disrupt Internet traffic .","The U.S. government and private technology experts Internet Wednesday that hackers plan to attack thousands of Web sites Sunday in a loosely co-ordinated "" contest "" that could disrupt . traffic warned","a U.S. . and private technology experts warned Wednesday that hackers "" to attack thousands of Web sites Sunday in The loosely co-ordinated "" contest plan that could disrupt Internet traffic government"
But Mr Kenny said his advice to Mr Hicks - if they are ever allowed to meet or speak - may well be that he accept a deal .,"But Mr Kenny said his advice to David Hicks , should they be allowed to meet , might be that he accept a deal .",But Mr Kenny said his advice to Mr Hicks - if they are ever well to meet or speak - may allowed be that he accept a deal .,But Mr Kenny said that advice to Mr Hicks - if they are ever allowed to meet or speak - may well be deal he accept a his .,But they Kenny said his advice to accept Hicks - if Mr are ever allowed to meet or speak - well may be that he Mr a deal .
"Mr Kenny and the Hicks family 's American lawyer , Michael Ratner , are trying to get access to Mr Hicks before he faces a planned military tribunal .","Mr Kenny and the family 's American lawyer , Michael Ratner , want access to Hicks before he faces a military tribunal .","Mr Kenny and the Hicks family 's American lawyer , Michael trying , are Ratner to get access to Mr Hicks before he faces a planned military tribunal .","Mr Kenny 's Ratner Hicks family and American lawyer , Michael the , are trying to get access to Mr Hicks before he faces a planned military tribunal .",". Kenny and the Hicks family 's American he , Michael Ratner , are trying to get access to Mr Hicks Mr lawyer faces a planned military tribunal before"
"The two forms account for about 30 percent of the approximately 7 million immigration benefits applications received annually , immigration officials said .",The two forms constitute 30 percent of the 7 million applications filed to the bureau each year .,"The two , account for about 30 percent of the approximately 7 million immigration benefits applications received annually forms immigration officials said .","The two forms account for received 30 percent of about approximately 7 million immigration benefits applications the annually , immigration officials said .","The two forms account for about 30 percent of the said million immigration immigration benefits applications received annually , 7 officials approximately ."
"Wyles previous feature credits include White Oleander , Enough and Donnie Darko .","Wyle 's feature credits also include "" White Oleander , "" "" Enough "" and "" Donnie Darko . ""","Wyles previous Enough credits include White Oleander , feature and Donnie Darko .","Wyles previous feature credits and White Oleander , Enough Donnie include Darko .","Donnie feature previous credits include White Oleander and Enough , Wyles Darko ."
Treasurys long-range plan is to provide retail buyers of all Treasury securities the ability to manage their holdings online in a single account .,The Treasury said wants to give retail buyers of all Treasury securities the ability eventually to manage holdings online in a single account .,Treasurys long-range plan is to provide retail buyers of all Treasury the securities ability to manage their holdings online in a single account .,their long-range plan is to provide online buyers of all Treasury securities the ability to manage Treasurys holdings retail in a single account .,Treasurys long-range plan is to . retail buyers holdings all securities Treasury the ability to manage their of online in a single account provide
White House officials say Iran has one last chance to comply with IAEA inspection demands .,"A White House spokesman added that Iran had "" one last chance "" to comply with its disarmament obligations .",White House officials say Iran has one last comply to chance with IAEA inspection demands .,White House last say Iran inspection one officials chance to comply with IAEA has demands .,White House officials say Iran chance demands last has to comply with one inspection IAEA .
"After he was led into the execution chamber and strapped to a gurney , Swisher raised his head and appeared to smile as his spiritual adviser spoke to him .","After he was led into the execution chamber and strapped to a gurney , Swisher raised his head and appeared to smile as the prison chaplain spoke in his ear .","After he was chamber into the execution led and strapped to a gurney , Swisher raised his head and appeared to smile as his spiritual adviser spoke to him .","After he was smile into the execution chamber and strapped to a gurney , Swisher spiritual his head and appeared to led as his raised adviser spoke to him .","After he was led a strapped execution chamber and the to into gurney , Swisher raised his head and spoke to smile as his spiritual adviser appeared to him ."
"Parrado remained on a Coast Guard cutter Wednesday as immigration officials attempt to determine his status , the Coast Guard said .","Parrado remained on a Coast Guard cutter Wednesday as officials determined his status and immediate future , the Coast Guard said .","Guard remained on a Coast Parrado cutter Wednesday as immigration officials attempt to determine his status , the Coast Guard said .","officials remained on a Coast Guard cutter Wednesday as . Parrado attempt to determine his status , the Coast Guard said immigration","Parrado remained on a Wednesday Guard cutter said as immigration officials attempt to determine his status , . Coast Guard Coast the"
"A month ago , the Commerce Department said GDP grew at a 7.2 percent rate .","A month ago , the Commerce Department estimated that GDP had a grown at a 7.2 percent rate in the third quarter .","A month ago , the Commerce Department said GDP grew at a . percent rate 7.2","A month ago a the Commerce Department said GDP grew at 7.2 , percent rate .","A month ago at the Commerce said Department 7.2 grew , a GDP percent rate ."
"Roxio , which is based in Santa Clara , Calif . , would get access to the music libraries of the major labels and the Pressplay distribution system .","Roxio , would get access to more than 300,000 tracks from the music libraries of the major labels , and the Pressplay distribution system .","Roxio , which music based in Santa Clara , Calif . , would get access to the is libraries of the major labels and the Pressplay distribution system .","based , which is Roxio in Santa Clara , Calif distribution , would get access to the music libraries of the major labels and the Pressplay . system .","Roxio , , is based would Santa Clara which Calif major , in get access to the music libraries of the . labels and the Pressplay distribution system ."
"Five alternate jurors were also chosen , with a final one set to be selected Friday morning from the panel .","Five alternate jurors also were selected , with a sixth alternate to be picked on Friday .","Five alternate jurors were also chosen , with selected final one set to be a Friday morning from the panel .","Five alternate selected were also chosen , with a final one set to be Friday jurors morning from the panel .","Five alternate jurors were also Friday , with a final from set to be selected one morning chosen the panel ."
"In interviews with engineers , most of whom have not spoken publicly until now , the lines of discord between NASA 's engineers and managers are evident .","In interviews with numerous engineers , most of whom have not spoken publicly until now , the lines of discord between NASA 's engineers and managers stand out in stark relief .","In interviews with engineers , most between whom have not spoken publicly until now , the lines of discord of NASA 's engineers and managers are evident .","In interviews with engineers , most of whom NASA not spoken publicly until now , the lines of discord 's have between engineers and managers are evident .","In interviews with engineers , discord of whom have not spoken publicly until now , the lines of most between NASA 's engineers and managers are evident ."
A suburban Chicago man was arrested Wednesday on charges of secretly gathering information on Iraqi opposition figures as an unregistered agent of Saddam Hussein 's intelligence service .,The FBI arrested a suburban Chicago man Wednesday and charged him with secretly collecting information on individuals in the United States who opposed Saddam Hussein 's Iraqi government .,A suburban Chicago man was arrested Wednesday on charges Saddam secretly gathering information on Iraqi opposition figures as an unregistered agent of of Hussein 's intelligence service .,secretly agent Chicago man was arrested Wednesday on charges of A gathering information on Iraqi opposition figures as an unregistered suburban of Saddam Hussein 's intelligence service .,A suburban Chicago man was arrested Wednesday Saddam charges of figures gathering information on Iraqi opposition secretly as an unregistered agent of . Hussein 's intelligence service on
"Another million barrels , bought by Spanish refiner Cepsa SA , was to be loaded onto a Spanish tanker , Sandra Tapias .","A Spanish tanker , Sandra Tapias , was to be loaded with another million barrels , bought by Spanish refiner Cepsa SA , in the afternoon .","Another million barrels , bought by onto refiner Cepsa SA , was to be loaded Spanish a Spanish tanker , Sandra Tapias .","Another million barrels , bought by Spanish refiner Cepsa SA tanker was to be , onto a Spanish , loaded Sandra Tapias .","Another million barrels was bought by Spanish a Cepsa SA , , to be loaded onto refiner Spanish tanker Tapias Sandra , ."
""" The board did so and accepted that resignation , "" said McCall , who chaired the meeting .",""" The board did so , and accepted that resignation , "" said the chairman of the exchange 's compensation committee , H. Carl McCall .",""" The board so did and accepted that resignation , "" said McCall , who chaired the meeting .",""" , board did accepted and so that resignation The "" said McCall , who chaired the meeting .","McCall The board meeting so and accepted that resignation , "" "" said , who chaired the did ."
""" He died doing something he loved , "" William Dusenbery , Sr. , who lives in Fairview Heights , just outside St. Louis , Mo .",""" He died doing something he loved , which was flying his helicopters , "" said the father , who lives in Fairview Heights , just outside St. Louis , Mo .",""" He who doing something he loved , "" William Dusenbery , Sr. , died lives in Fairview Heights , just outside St. Louis , Mo .",""" Louis died doing something he loved , "" William Mo , Sr. , who lives in Fairview Heights , just outside St. He , Dusenbery .",""" He died doing something he loved , in William Dusenbery , Fairview , who just "" Sr. Heights , lives outside St. Louis , Mo ."
"The answer is clearly yes , "" said Dr. Larry Norton , deputy physician-in- chief for breast cancer programs at Memorial Sloan-Kettering Cancer Center .","The answer is clearly yes , "" said Dr. Larry Norton , deputy physician-in-chief for breast-cancer programs at Memorial Sloan-Kettering Cancer Center in New York City .","The answer is clearly yes Cancer "" said Dr. Larry Norton , deputy physician-in- chief for breast cancer programs at Memorial Sloan-Kettering , Center .","The answer cancer clearly yes , "" said Dr. Larry Norton , at physician-in- chief for breast is programs deputy Memorial Sloan-Kettering Cancer Center .","Norton answer is clearly yes , "" said Dr. Larry at , deputy physician-in- chief . breast cancer programs The Memorial Sloan-Kettering Cancer Center for"
"Quattrone , 47 , was highly influential at Credit Suisse First Boston during the tech bubble .","Quattrone , 47 , was highly influential working in the Palo Alto office of Credit Suisse First Boston during the tech bubble .","Quattrone , tech , was highly influential at Credit Suisse First Boston during the 47 bubble .","Quattrone , during , was Credit influential at highly Suisse First Boston 47 the tech bubble .","at , 47 , was highly Credit Quattrone Suisse influential First Boston during the tech bubble ."
